Member_number,Date,itemDescription
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
4957,15-05-2014,
2751,4/6/2014,
2141,23-02-2014,
3667,15-04-2014,
2531,24-08-2014,
1785,25-05-2014,
3330,19-08-2014,
2048,17-12-2014,
3337,19-08-2014,
3749,10/12/2014,
4190,30-12-2014,
1136,15-07-2014,
4797,11/2/2014,
1224,31-08-2014,
3903,16-04-2014,
1803,25-10-2014,
2056,26-12-2014,
1852,14-07-2014,
4962,17-10-2014,
4183,26-03-2014,
2673,23-04-2014,
4348,6/8/2014,
2629,26-05-2014,
1256,14-10-2014,
1051,13-01-2014,
4014,31-07-2014,
4078,11/1/2014,
3962,13-12-2014,
3182,19-02-2014,
1013,28-03-2014,
1913,14-12-2014,
2694,9/10/2014,
2952,24-09-2014,
2849,28-05-2014,
2608,17-10-2014,
1966,23-09-2014,
2361,15-12-2014,
4469,29-11-2014,
4910,27-11-2014,
1526,13-07-2014,
2772,7/11/2014,
2059,7/9/2014,
1793,25-08-2014,
4753,1/12/2014,
4915,11/1/2014,
1281,28-07-2014,
3262,16-04-2014,
4391,23-01-2014,
4751,29-11-2014,
4643,9/3/2014,
4015,18-12-2014,
3561,28-12-2014,
1018,1/10/2014,
1065,23-01-2014,
4779,7/5/2014,
4615,29-10-2014,
4522,27-05-2014,
2207,9/4/2014,
3866,19-08-2014,
2530,30-10-2014,
1189,23-02-2014,
4499,25-06-2014,
4828,26-08-2014,
1738,15-07-2014,
1587,15-05-2014,
4206,27-11-2014,
3118,7/11/2014,
4462,28-03-2014,
2872,6/8/2014,
1791,5/8/2014,
2809,1/4/2014,
2568,22-12-2014,
3758,16-07-2014,
4237,20-05-2014,
4779,15-06-2014,
3575,16-11-2014,
2097,28-09-2014,
3573,13-10-2014,
2425,11/11/2014,
1115,3/8/2014,
3518,10/8/2014,
3073,6/7/2014,
1654,7/6/2014,
2343,6/4/2014,
4499,20-12-2014,
3910,30-12-2014,
3893,8/1/2014,
2713,7/11/2014,
4510,12/3/2014,
1466,25-04-2014,
4636,28-07-2014,
1554,23-05-2014,
3039,20-08-2014,
4124,31-05-2014,
1533,15-03-2014,
4110,3/12/2014,
3042,14-09-2014,
4915,28-06-2014,
3271,20-11-2014,
1245,27-09-2014,
4915,20-02-2014,
4062,27-11-2014,
3687,1/10/2014,
3020,13-06-2014,
2388,20-02-2014,
3896,11/7/2014,
1453,13-03-2014,
1294,5/7/2014,
3034,6/10/2014,
1707,22-12-2014,
1676,15-05-2014,
1652,15-03-2014,
1573,18-05-2014,
3712,14-08-2014,
3045,15-06-2014,
1827,1/9/2014,
4860,13-01-2014,
4353,12/7/2014,
4782,12/10/2014,
1687,31-07-2014,
1421,26-12-2014,
1110,13-10-2014,
2838,28-04-2014,
3347,21-11-2014,
1159,6/2/2014,
1309,10/8/2014,
3573,26-08-2014,
4673,20-08-2014,
2898,7/1/2014,
2820,24-11-2014,
4250,17-01-2014,
3909,13-08-2014,
1289,9/8/2014,
4561,4/9/2014,
1618,3/4/2014,
4987,12/4/2014,
1053,16-05-2014,
1829,26-02-2014,
4601,27-03-2014,
3101,2/9/2014,
4087,4/9/2014,
3276,8/8/2014,
2901,14-04-2014,
1332,18-04-2014,
3368,21-08-2014,
4450,1/2/2014,
2843,14-04-2014,
3512,19-01-2014,
2380,21-05-2014,
2371,22-05-2014,
1065,5/11/2014,
1969,10/2/2014,
2308,13-04-2014,
2350,30-05-2014,
1493,28-01-2014,
4036,3/8/2014,
3293,19-01-2014,
4646,16-01-2014,
1163,30-04-2014,
2273,14-08-2014,
3384,23-07-2014,
4940,20-08-2014,
4528,27-06-2014,
4367,3/10/2014,
1283,9/2/2014,
2699,3/12/2014,
4483,3/7/2014,
3841,1/8/2014,
4495,23-10-2014,
1565,2/7/2014,
3961,18-12-2014,
2044,26-11-2014,
2961,14-03-2014,
2857,30-05-2014,
1797,31-07-2014,
1912,19-10-2014,
3515,6/9/2014,
1052,13-10-2014,
4888,4/6/2014,
2925,1/4/2014,
4145,17-05-2014,
1028,10/11/2014,
3779,27-10-2014,
3890,20-01-2014,
3608,16-11-2014,
2828,1/2/2014,
1110,11/12/2014,
2811,22-07-2014,
1859,14-01-2014,
1783,12/5/2014,
2272,5/6/2014,
3159,23-07-2014,
4846,4/12/2014,
2314,28-07-2014,
2646,23-10-2014,
2443,4/2/2014,
4979,18-11-2014,
3176,10/7/2014,
3641,1/2/2014,
3560,26-11-2014,
2956,3/5/2014,
4009,18-09-2014,
4597,17-07-2014,
2438,25-05-2014,
1189,4/7/2014,
4527,22-03-2014,
2731,27-08-2014,
1863,1/6/2014,
3532,17-08-2014,
3309,19-03-2014,
1535,8/6/2014,
2764,30-03-2014,
4140,29-01-2014,
2363,3/12/2014,
2496,26-11-2014,
2814,15-12-2014,
1100,18-12-2014,
2005,22-11-2014,
2673,16-12-2014,
3876,10/12/2014,
3483,19-10-2014,
4130,3/8/2014,
2528,15-03-2014,
4153,27-07-2014,
4407,25-12-2014,
2907,17-04-2014,
3541,18-03-2014,
2882,12/12/2014,
3507,13-02-2014,
3104,22-10-2014,
1286,19-07-2014,
3756,3/11/2014,
2242,1/12/2014,
4481,11/8/2014,
4910,26-02-2014,
1287,7/8/2014,
3067,17-11-2014,
1204,18-05-2014,
4318,27-03-2014,
3218,11/6/2014,
2772,19-08-2014,
3823,10/12/2014,
1325,30-04-2014,
1211,13-12-2014,
1613,17-01-2014,
3706,17-11-2014,
3435,22-01-2014,
1828,12/6/2014,
4204,11/11/2014,
1004,1/7/2014,
1520,3/6/2014,
3031,1/12/2014,
2450,31-07-2014,
1878,2/1/2014,
3012,24-07-2014,
3484,6/8/2014,
1908,30-05-2014,
4126,18-10-2014,
3359,7/6/2014,
2747,17-09-2014,
2467,30-11-2014,
4993,15-08-2014,
1738,10/8/2014,
2755,30-10-2014,
3035,21-02-2014,
4267,12/11/2014,
1907,20-04-2014,
3568,14-08-2014,
1798,29-05-2014,
3289,2/2/2014,
4853,20-07-2014,
2144,13-05-2014,
2079,26-08-2014,
3689,10/9/2014,
4913,6/11/2014,
3830,1/4/2014,
2829,7/7/2014,
4138,7/10/2014,
3484,19-11-2014,
2413,16-09-2014,
2164,30-09-2014,
3393,2/7/2014,
4325,3/3/2014,
1205,30-04-2014,
4793,14-12-2014,
4194,23-02-2014,
2018,5/2/2014,
1881,18-08-2014,
3967,23-01-2014,
4305,3/12/2014,
2637,18-06-2014,
2631,20-02-2014,
1630,22-10-2014,
4860,30-05-2014,
2014,7/6/2014,
1197,19-03-2014,
1572,31-03-2014,
1833,20-10-2014,
3737,5/9/2014,
3860,6/10/2014,
1954,16-08-2014,
1923,2/2/2014,
1052,4/1/2014,
2773,30-05-2014,
2070,13-04-2014,
2632,10/12/2014,
4999,19-05-2014,
3158,4/10/2014,
3763,15-07-2014,
1740,26-07-2014,
3548,13-03-2014,
2404,22-10-2014,
2258,19-10-2014,
2795,19-03-2014,
1270,12/7/2014,
4803,12/1/2014,
1542,8/12/2014,
4929,8/5/2014,
4620,16-03-2014,
2836,6/11/2014,
1692,12/6/2014,
4563,20-05-2014,
4210,17-03-2014,
1971,28-05-2014,
1280,13-04-2014,
2632,22-06-2014,
3430,12/8/2014,
3554,15-01-2014,
1924,22-11-2014,
1064,21-04-2014,
3208,2/12/2014,
1895,6/4/2014,
1865,17-02-2014,
4316,4/8/2014,
3411,2/5/2014,
4855,27-08-2014,
3782,15-01-2014,
4394,13-11-2014,
2112,3/6/2014,
3768,6/1/2014,
1109,14-10-2014,
3850,14-06-2014,
1466,24-05-2014,
3785,12/7/2014,
3116,22-05-2014,
3705,18-05-2014,
4916,11/1/2014,
3467,20-10-2014,
2523,11/10/2014,
2916,12/8/2014,
3675,15-11-2014,
1206,3/2/2014,
1621,28-08-2014,
2629,9/7/2014,
2712,15-08-2014,
2486,19-04-2014,
3166,3/5/2014,
3120,2/1/2014,
4060,1/10/2014,
4443,19-10-2014,
2180,27-09-2014,
2552,11/7/2014,
4022,10/7/2014,
2617,12/8/2014,
2937,24-04-2014,
3516,9/9/2014,
3582,16-06-2014,
2022,28-03-2014,
2345,9/6/2014,
2837,5/11/2014,
3715,4/4/2014,
3010,13-06-2014,
2428,11/2/2014,
4512,12/8/2014,
1194,16-01-2014,
2492,14-03-2014,
3732,14-07-2014,
1653,20-12-2014,
3117,19-03-2014,
1506,25-12-2014,
3110,23-07-2014,
2274,22-02-2014,
3074,3/11/2014,
4969,9/9/2014,
2546,4/6/2014,
4434,30-01-2014,
2931,5/7/2014,
1329,29-01-2014,
3797,7/9/2014,
1525,13-07-2014,
3704,3/12/2014,
3221,28-07-2014,
1118,2/3/2014,
4891,2/6/2014,
2716,3/9/2014,
1083,15-07-2014,
1345,8/4/2014,
3122,16-04-2014,
2306,17-03-2014,
1410,26-06-2014,
2956,22-07-2014,
4389,22-04-2014,
4946,24-04-2014,
3893,19-05-2014,
3401,17-03-2014,
3082,7/7/2014,
2437,6/7/2014,
3909,16-11-2014,
3207,6/12/2014,
4526,19-12-2014,
1288,28-09-2014,
1013,17-01-2014,
1615,7/6/2014,
3956,26-10-2014,
1868,19-03-2014,
2863,3/3/2014,
3052,26-10-2014,
2612,2/6/2014,
4362,22-01-2014,
4512,28-05-2014,
4176,11/6/2014,
1766,15-04-2014,
4261,29-05-2014,
4683,2/3/2014,
1443,25-08-2014,
1692,26-07-2014,
2283,22-11-2014,
3562,17-12-2014,
1004,10/6/2014,
1405,14-05-2014,
2141,24-04-2014,
2954,17-07-2014,
2230,14-07-2014,
1765,12/6/2014,
4735,27-03-2014,
3603,20-07-2014,
1774,10/8/2014,
4018,30-10-2014,
2437,25-02-2014,
2847,28-04-2014,
3832,7/6/2014,
4433,19-10-2014,
2358,26-06-2014,
2540,23-07-2014,
2298,12/4/2014,
4618,28-02-2014,
4667,5/3/2014,
4527,14-10-2014,
1521,11/9/2014,
3403,21-01-2014,
3831,29-03-2014,
3141,4/1/2014,
2732,4/3/2014,
3905,4/4/2014,
3100,16-04-2014,
1549,17-07-2014,
3726,3/9/2014,
1429,19-10-2014,
2928,4/11/2014,
3482,13-01-2014,
2410,6/12/2014,
4448,11/12/2014,
3095,8/5/2014,
4445,25-04-2014,
3148,23-04-2014,
4746,8/7/2014,
2814,10/6/2014,
4494,8/11/2014,
2631,29-09-2014,
3021,15-11-2014,
1530,5/9/2014,
4202,12/7/2014,
3931,22-06-2014,
1644,13-07-2014,
3149,25-01-2014,
2122,6/4/2014,
3831,1/3/2014,
3583,21-03-2014,
3848,28-02-2014,
1264,11/12/2014,
2060,25-05-2014,
4116,12/10/2014,
4727,12/4/2014,
1692,4/5/2014,
4370,12/2/2014,
1355,29-03-2014,
2549,20-08-2014,
2612,11/6/2014,
1094,11/12/2014,
2932,10/11/2014,
4402,9/10/2014,
3942,6/5/2014,
2644,29-03-2014,
3116,12/3/2014,
1188,4/7/2014,
1387,31-05-2014,
4468,12/3/2014,
1652,6/12/2014,
1234,16-03-2014,
3480,31-08-2014,
3946,19-04-2014,
2784,10/8/2014,
3743,13-08-2014,
2313,2/5/2014,
2746,17-01-2014,
4543,11/5/2014,
1692,11/11/2014,
4163,16-02-2014,
1379,21-09-2014,
1442,1/10/2014,
3517,21-08-2014,
2177,29-06-2014,
2086,8/1/2014,
1169,1/11/2014,
4113,13-03-2014,
4807,3/4/2014,
3688,9/2/2014,
4252,25-12-2014,
1136,25-05-2014,
3590,31-10-2014,
3523,16-10-2014,
2801,10/10/2014,
3264,11/10/2014,
4033,18-03-2014,
4944,26-08-2014,
1740,13-07-2014,
1108,25-06-2014,
3327,3/8/2014,
2148,6/12/2014,
1932,2/6/2014,
1943,16-09-2014,
1416,4/3/2014,
1592,28-11-2014,
1452,31-05-2014,
2138,12/12/2014,
3482,30-07-2014,
3499,13-06-2014,
1668,25-07-2014,
2298,15-04-2014,
1214,8/7/2014,
1937,18-04-2014,
2312,14-02-2014,
2469,17-06-2014,
4826,2/3/2014,
2127,16-04-2014,
3409,15-05-2014,
1162,5/4/2014,
4723,28-08-2014,
2254,2/3/2014,
3684,28-08-2014,
2746,3/8/2014,
1275,10/6/2014,
1654,26-11-2014,
4463,8/6/2014,
2658,28-09-2014,
3018,17-11-2014,
3934,24-09-2014,
1426,3/10/2014,
2898,10/6/2014,
2004,9/5/2014,
2551,11/1/2014,
1816,21-08-2014,
3992,12/4/2014,
1211,12/12/2014,
3356,26-06-2014,
4690,17-12-2014,
2540,11/11/2014,
1948,4/1/2014,
2146,22-10-2014,
4406,16-08-2014,
4769,20-08-2014,
2371,7/9/2014,
2986,28-03-2014,
4084,23-04-2014,
2218,13-05-2014,
4649,19-09-2014,
2722,26-07-2014,
1259,24-06-2014,
3129,2/4/2014,
1223,20-09-2014,
1457,12/5/2014,
2987,16-04-2014,
3811,23-03-2014,
3899,22-04-2014,
3013,12/5/2014,
1456,1/7/2014,
3616,8/10/2014,
2612,30-05-2014,
3505,5/8/2014,
4221,1/6/2014,
4540,26-12-2014,
3356,8/11/2014,
3281,19-04-2014,
2092,17-12-2014,
2620,19-04-2014,
4456,1/5/2014,
1253,1/3/2014,
4925,18-12-2014,
3663,19-12-2014,
2539,23-11-2014,
3809,11/11/2014,
3587,18-02-2014,
4103,22-12-2014,
3137,23-02-2014,
4368,22-05-2014,
4660,23-01-2014,
3967,7/3/2014,
4193,30-04-2014,
4243,29-12-2014,
1495,10/11/2014,
4813,15-05-2014,
2445,29-10-2014,
2213,25-08-2014,
4591,11/7/2014,
4663,24-02-2014,
4526,28-10-2014,
4367,28-09-2014,
4877,19-05-2014,
4814,18-01-2014,
3145,15-08-2014,
1589,27-08-2014,
2273,13-11-2014,
4339,20-11-2014,
2954,28-05-2014,
2935,4/2/2014,
1618,14-05-2014,
1745,22-03-2014,
1689,9/12/2014,
2560,1/12/2014,
1779,13-01-2014,
1822,24-01-2014,
1711,23-05-2014,
1020,12/8/2014,
4538,19-08-2014,
3138,24-05-2014,
4030,20-05-2014,
4453,7/11/2014,
1167,1/11/2014,
3302,10/3/2014,
4398,12/3/2014,
1731,26-10-2014,
2796,16-02-2014,
3102,28-11-2014,
1801,6/12/2014,
2909,23-07-2014,
4256,9/5/2014,
3751,11/1/2014,
3758,14-06-2014,
2218,6/9/2014,
1320,7/1/2014,
2116,13-02-2014,
3594,5/11/2014,
3989,18-10-2014,
4864,3/12/2014,
2100,20-03-2014,
1263,19-10-2014,
1286,2/7/2014,
2870,4/9/2014,
3256,17-12-2014,
2617,22-02-2014,
1635,20-12-2014,
4401,24-02-2014,
4931,18-06-2014,
4641,5/9/2014,
1715,18-10-2014,
2536,10/6/2014,
4108,13-09-2014,
4481,19-09-2014,
2196,25-03-2014,
2446,24-09-2014,
4797,27-01-2014,
2802,28-07-2014,
3255,20-11-2014,
2432,25-02-2014,
4592,28-03-2014,
4148,28-09-2014,
2541,12/9/2014,
3570,13-07-2014,
1839,10/4/2014,
1793,27-10-2014,
3914,28-11-2014,
4995,16-03-2014,
3026,29-10-2014,
4486,7/7/2014,
1413,14-12-2014,
1995,2/7/2014,
1036,20-01-2014,
3104,22-01-2014,
2045,5/4/2014,
1490,18-10-2014,
4246,28-06-2014,
2537,23-02-2014,
4413,7/9/2014,
2072,18-02-2014,
2219,13-09-2014,
3691,24-02-2014,
4832,18-02-2014,
1170,3/6/2014,
1198,22-03-2014,
1606,12/1/2014,
3680,22-02-2014,
1477,14-03-2014,
1197,12/5/2014,
2699,7/5/2014,
2042,10/9/2014,
3898,10/11/2014,
4501,1/10/2014,
3233,26-10-2014,
4947,2/2/2014,
4314,25-10-2014,
4391,30-04-2014,
4520,11/2/2014,
1075,19-06-2014,
2320,8/12/2014,
3019,13-12-2014,
1516,20-02-2014,
4310,4/1/2014,
4788,10/2/2014,
3761,7/8/2014,
2172,21-06-2014,
4939,16-02-2014,
3112,8/5/2014,
1988,30-03-2014,
3744,3/11/2014,
3545,29-11-2014,
1801,21-08-2014,
2014,7/9/2014,
1818,12/4/2014,
4121,27-01-2014,
4416,3/3/2014,
4315,19-04-2014,
3537,10/8/2014,
1496,26-04-2014,
1424,30-01-2014,
2870,14-12-2014,
4573,8/6/2014,
4603,12/2/2014,
3248,13-05-2014,
